MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
1386,W,56.0%,23,21
3163,W,66.0%,23,21
2756,W,69.0%,23,21
2830,W,50.0%,23,21
2040,W,64.0%,23,21
424,W,61.0%,23,21
1598,W,59.0%,23,21
3539,W,58.0%,23,21
202,W,52.0%,23,21
469,W,72.0%,23,21
2916,W,67.0%,23,21
2943,W,58.0%,23,21
2696,W,75.0%,23,21
359,W,51.0%,23,21
1808,W,52.0%,23,21
1534,W,72.0%,23,21
2288,W,56.0%,23,21
750,W,64.0%,23,21
2649,W,56.0%,23,21
388,W,63.0%,23,21
1276,W,61.0%,23,21
555,W,61.0%,23,21
3190,W,56.0%,23,21
873,W,53.0%,23,21
224,W,64.0%,23,21
2521,W,57.0%,23,21
3414,W,96.0%,23,21
919,W,53.0%,23,21
3173,W,57.0%,23,21
27,W,62.0%,23,21
2637,W,79.0%,23,21
597,W,65.0%,23,21
2990,W,73.0%,23,21
444,W,71.0%,23,21
1253,W,77.0%,23,21
558,W,47.0%,23,21
2877,W,60.0%,23,21
2408,W,47.0%,23,21
1284,W,86.0%,23,21
365,W,59.0%,23,21
122,W,78.0%,23,21
2224,W,56.0%,23,21
2995,W,55.0%,23,21
632,W,63.0%,23,21
2941,W,66.0%,23,21
672,W,70.0%,23,21
3272,W,62.0%,23,21
1422,W,70.0%,23,21
2651,W,48.0%,23,21
2102,W,55.0%,23,21
983,W,49.0%,23,21
3008,W,80.0%,23,21
364,W,67.0%,23,21
1745,W,49.0%,23,21
3187,W,60.0%,23,21
1164,W,78.0%,23,21
866,W,58.0%,23,21
2959,W,67.0%,23,21
1225,W,57.0%,23,21
3496,W,59.0%,23,21
2225,W,87.0%,23,21
3575,W,68.0%,23,21
2973,W,58.0%,23,21
2096,W,57.0%,23,21
2137,W,44.0%,23,21
2042,W,55.0%,23,21
1738,W,66.0%,23,21
1602,W,57.0%,23,21
2513,W,68.0%,23,21
3019,W,64.0%,23,21
3151,W,76.0%,23,21
2587,W,61.0%,23,21
3507,W,79.0%,23,21
604,W,69.0%,23,21
1465,W,74.0%,23,21
1973,W,47.0%,23,21
2554,W,77.0%,23,21
98,W,71.0%,23,21
3196,W,58.0%,23,21
177,W,58.0%,23,21
1694,W,74.0%,23,21
3420,W,89.0%,23,21
2369,W,66.0%,23,21
3548,W,76.0%,23,21
150,W,63.0%,23,21
773,W,61.0%,23,21
401,W,63.0%,23,21
363,W,70.0%,23,21
1161,W,69.0%,23,21
2311,W,81.0%,23,21
2268,W,50.0%,23,21
1591,W,59.0%,23,21
1198,W,64.0%,23,21
198,W,69.0%,23,21
2820,W,41.0%,23,21
2523,W,73.0%,23,21
2459,W,79.0%,23,21
3464,W,64.0%,23,21
3532,W,59.0%,23,21
2623,W,57.0%,23,21
169,W,45.0%,23,21
3166,W,78.0%,23,21
2012,W,69.0%,23,21
84,W,77.0%,23,21
3410,W,48.0%,23,21
855,W,45.0%,23,21
1062,W,75.0%,23,21
1541,W,73.0%,23,21
740,W,83.0%,23,21
3009,W,68.0%,23,21
2272,W,54.0%,23,21
3242,W,65.0%,23,21
2283,W,54.0%,23,21
3197,W,58.0%,23,21
643,W,56.0%,23,21
1219,W,59.0%,23,21
186,W,61.0%,23,21
3598,W,46.0%,23,21
1420,W,72.0%,23,21
1963,W,79.0%,23,21
1544,W,72.0%,23,21
864,W,54.0%,23,21
2282,W,49.0%,23,21
1344,W,66.0%,23,21
1394,W,77.0%,23,21
3522,W,47.0%,23,21
3100,W,46.0%,23,21
3027,W,73.0%,23,21
2828,W,54.0%,23,21
1139,W,47.0%,23,21
1026,W,52.0%,23,21
3467,W,61.0%,23,21
220,W,64.0%,23,21
1500,W,74.0%,23,21
1610,W,57.0%,23,21
1725,W,63.0%,23,21
3245,W,81.0%,23,21
264,W,78.0%,23,21
1236,W,58.0%,23,21
2265,W,65.0%,23,21
204,W,74.0%,23,21
1679,W,72.0%,23,21
473,W,72.0%,23,21
2203,W,73.0%,23,21
2507,W,79.0%,23,21
2429,W,69.0%,23,21
1310,W,52.0%,23,21
1154,W,66.0%,23,21
3030,W,54.0%,23,21
21,W,80.0%,23,21
3029,W,54.0%,23,21
1912,W,73.0%,23,21
1352,W,79.0%,23,21
2218,W,58.0%,23,21
517,W,53.0%,23,21
340,W,72.0%,23,21
2033,W,58.0%,23,21
2163,W,66.0%,23,21
1876,W,63.0%,23,21
190,W,61.0%,23,21
1495,W,40.0%,23,21
327,W,67.0%,23,21
2185,W,50.0%,23,21
1153,W,62.0%,23,21
1107,W,77.0%,23,21
551,W,65.0%,23,21
1806,W,62.0%,23,21
1485,W,48.0%,23,21
1693,W,67.0%,23,21
976,W,57.0%,23,21
1618,W,82.0%,23,21
1594,W,73.0%,23,21
846,W,58.0%,23,21
3325,W,48.0%,23,21
3350,W,66.0%,23,21
1209,W,63.0%,23,21
2433,W,62.0%,23,21
2460,W,48.0%,23,21
2788,W,56.0%,23,21
2314,W,60.0%,23,21
917,W,75.0%,23,21
3489,W,67.0%,23,21
1514,W,71.0%,23,21
2367,W,77.0%,23,21
2616,W,58.0%,23,21
1527,W,61.0%,23,21
2341,W,57.0%,23,21
1571,W,48.0%,23,21
2402,W,59.0%,23,21
1192,W,58.0%,23,21
3491,W,52.0%,23,21
3164,W,57.0%,23,21
633,W,45.0%,23,21
2160,W,36.0%,23,21
77,W,71.0%,23,21
3649,W,77.0%,23,21
1476,W,78.0%,23,21
1317,W,70.0%,23,21
754,W,73.0%,23,21
3259,W,51.0%,23,21
2319,W,71.0%,23,21
3591,W,62.0%,23,21
2292,W,56.0%,23,21
1207,W,54.0%,23,21
1432,W,53.0%,23,21
2257,W,61.0%,23,21
3409,W,57.0%,23,21
2785,W,62.0%,23,21
459,W,60.0%,23,21
2624,W,49.0%,23,21
2711,W,52.0%,23,21
718,W,72.0%,23,21
2609,W,58.0%,23,21
2955,W,61.0%,23,21
3475,W,66.0%,23,21
587,W,65.0%,23,21
2161,W,69.0%,23,21
1104,W,71.0%,23,21
2809,W,57.0%,23,21
373,W,62.0%,23,21
738,W,56.0%,23,21
1792,W,56.0%,23,21
1175,W,31.0%,23,21
2640,W,65.0%,23,21
2704,W,66.0%,23,21
3293,W,80.0%,23,21
2599,W,63.0%,23,21
333,W,66.0%,23,21
2976,W,51.0%,23,21
2771,W,68.0%,23,21
45,W,62.0%,23,21
1507,W,67.0%,23,21
2052,W,65.0%,23,21
3090,W,61.0%,23,21
1356,W,81.0%,23,21
2740,W,77.0%,23,21
937,W,63.0%,23,21
591,W,49.0%,23,21
1920,W,59.0%,23,21
3161,W,60.0%,23,21
1902,W,75.0%,23,21
975,W,66.0%,23,21
2790,W,59.0%,23,21
2455,W,55.0%,23,21
2169,W,83.0%,23,21
1349,W,62.0%,23,21
1915,W,58.0%,23,21
3294,W,76.0%,23,21
2551,W,67.0%,23,21
2193,W,61.0%,23,21
3570,W,63.0%,23,21
2509,W,55.0%,23,21
893,W,74.0%,23,21
2575,W,70.0%,23,21
1511,W,65.0%,23,21
1176,W,74.0%,23,21
1032,W,61.0%,23,21
923,W,57.0%,23,21
677,W,66.0%,23,21
2744,W,63.0%,23,21
106,W,44.0%,23,21
3068,W,47.0%,23,21
3454,W,60.0%,23,21
2836,W,66.0%,23,21
253,W,52.0%,23,21
3117,W,52.0%,23,21
85,W,72.0%,23,21
1922,W,47.0%,23,21
3439,W,55.0%,23,21
2605,W,75.0%,23,21
2392,W,68.0%,23,21
1853,W,60.0%,23,21
1174,W,79.0%,23,21
985,W,80.0%,23,21
3128,W,47.0%,23,21
215,W,47.0%,23,21
331,W,66.0%,23,21
2727,W,59.0%,23,21
2262,W,51.0%,23,21
1524,W,53.0%,23,21
326,W,67.0%,23,21
1167,W,60.0%,23,21
998,W,39.0%,23,21
1177,W,36.0%,23,21
2736,W,56.0%,23,21
1540,W,78.0%,23,21
1831,W,85.0%,23,21
862,W,73.0%,23,21
2594,W,67.0%,23,21
404,W,64.0%,23,21
1661,W,56.0%,23,21
3483,W,62.0%,23,21
1243,W,58.0%,23,21
1191,W,50.0%,23,21
1237,W,68.0%,23,21
2458,W,61.0%,23,21
1880,W,63.0%,23,21
1851,W,72.0%,23,21
417,W,61.0%,23,21
2783,W,73.0%,23,21
2808,W,58.0%,23,21
1874,W,60.0%,23,21
2490,W,62.0%,23,21
2397,W,61.0%,23,21
3237,W,71.0%,23,21
526,W,65.0%,23,21
3031,W,76.0%,23,21
609,W,75.0%,23,21
1752,W,73.0%,23,21
3084,W,81.0%,23,21
1703,W,47.0%,23,21
2301,W,59.0%,23,21
1431,W,63.0%,23,21
1259,W,49.0%,23,21
1412,W,72.0%,23,21
283,W,71.0%,23,21
1667,W,69.0%,23,21
268,W,60.0%,23,21
1783,W,74.0%,23,21
3059,W,51.0%,23,21
1865,W,65.0%,23,21
1194,W,66.0%,23,21
818,W,58.0%,23,21
1538,W,66.0%,23,21
2426,W,68.0%,23,21
3388,W,86.0%,23,21
1379,W,66.0%,23,21
1234,W,61.0%,23,21
593,W,57.0%,23,21
3579,W,65.0%,23,21
28,W,77.0%,23,21
2915,W,57.0%,23,21
3269,W,54.0%,23,21
1635,W,54.0%,23,21
2080,W,58.0%,23,21
2708,W,60.0%,23,21
1826,W,52.0%,23,21
3605,W,75.0%,23,21
1301,W,57.0%,23,21
3607,W,51.0%,23,21
1068,W,52.0%,23,21
278,W,73.0%,23,21
1027,W,72.0%,23,21
1988,W,69.0%,23,21
3307,W,77.0%,23,21
1926,W,69.0%,23,21
2274,W,56.0%,23,21
2287,W,68.0%,23,21
23,W,65.0%,23,21
113,W,60.0%,23,21
673,W,73.0%,23,21
2512,W,83.0%,23,21
3176,W,78.0%,23,21
2601,W,53.0%,23,21
2485,W,66.0%,23,21
2707,W,73.0%,23,21
233,W,59.0%,23,21
1870,W,65.0%,23,21
2068,W,61.0%,23,21
1984,W,72.0%,23,21
173,W,65.0%,23,21
2600,W,71.0%,23,21
3461,W,62.0%,23,21
46,W,77.0%,23,21
3207,W,65.0%,23,21
3205,W,61.0%,23,21
99,W,66.0%,23,21
1960,W,71.0%,23,21
844,W,57.0%,23,21
1927,W,64.0%,23,21
2174,W,67.0%,23,21
2520,W,79.0%,23,21
3594,W,62.0%,23,21
1347,W,72.0%,23,21
203,W,66.0%,23,21
1426,W,59.0%,23,21
1231,W,49.0%,23,21
2382,W,45.0%,23,21
1797,W,49.0%,23,21
3606,W,76.0%,23,21
1892,W,65.0%,23,21
2140,W,73.0%,23,21
1274,W,90.0%,23,21
1786,W,51.0%,23,21
2199,W,43.0%,23,21
2979,W,74.0%,23,21
3393,W,64.0%,23,21
2867,W,58.0%,23,21
744,W,67.0%,23,21
3629,W,61.0%,23,21
3577,W,65.0%,23,21
343,W,56.0%,23,21
626,W,58.0%,23,21
79,W,58.0%,23,21
1663,W,71.0%,23,21
1638,W,57.0%,23,21
1968,W,81.0%,23,21
560,W,61.0%,23,21
1890,W,55.0%,23,21
485,W,79.0%,23,21
174,W,61.0%,23,21
119,W,84.0%,23,21
1897,W,46.0%,23,21
2111,W,33.0%,23,21
657,W,76.0%,23,21
3135,W,52.0%,23,21
2705,W,84.0%,23,21
191,W,45.0%,23,21
2864,W,85.0%,23,21
3357,W,65.0%,23,21
1354,W,68.0%,23,21
3484,W,59.0%,23,21
1291,W,64.0%,23,21
358,W,81.0%,23,21
2413,W,61.0%,23,21
2714,W,69.0%,23,21
1488,W,61.0%,23,21
993,W,66.0%,23,21
480,W,82.0%,23,21
1298,W,88.0%,23,21
2936,W,77.0%,23,21
778,W,62.0%,23,21
1411,W,69.0%,23,21
2628,W,55.0%,23,21
1218,W,69.0%,23,21
384,W,55.0%,23,21
2439,W,58.0%,23,21
1093,W,62.0%,23,21
2905,W,55.0%,23,21
651,W,64.0%,23,21
2977,W,56.0%,23,21
2372,W,66.0%,23,21
2308,W,53.0%,23,21
239,W,81.0%,23,21
1971,W,63.0%,23,21
2855,W,74.0%,23,21
2831,W,54.0%,23,21
784,W,79.0%,23,21
1559,W,67.0%,23,21
879,W,80.0%,23,21
2553,W,64.0%,23,21
1305,W,69.0%,23,21
378,W,61.0%,23,21
3231,W,86.0%,23,21
1484,W,61.0%,23,21
1850,W,58.0%,23,21
747,W,57.0%,23,21
3032,W,62.0%,23,21
1241,W,73.0%,23,21
1355,W,66.0%,23,21
1222,W,50.0%,23,21
1137,W,47.0%,23,21
794,W,78.0%,23,21
1861,W,68.0%,23,21
2758,W,78.0%,23,21
1169,W,71.0%,23,21
2611,W,36.0%,23,21
540,W,67.0%,23,21
3320,W,68.0%,23,21
2294,W,52.0%,23,21
1632,W,68.0%,23,21
353,W,58.0%,23,21
2281,W,66.0%,23,21
2353,W,75.0%,23,21
1646,W,54.0%,23,21
1230,W,63.0%,23,21
1365,W,68.0%,23,21
3069,W,74.0%,23,21
1810,W,59.0%,23,21
103,W,77.0%,23,21
1910,W,57.0%,23,21
3583,W,64.0%,23,21
1322,W,64.0%,23,21
200,W,50.0%,23,21
1564,W,81.0%,23,21
100,W,79.0%,23,21
493,W,53.0%,23,21
1036,W,69.0%,23,21
2105,W,59.0%,23,21
49,W,65.0%,23,21
914,W,47.0%,23,21
3055,W,60.0%,23,21
1938,W,58.0%,23,21
2339,W,75.0%,23,21
3070,W,66.0%,23,21
3219,W,57.0%,23,21
1281,W,47.0%,23,21
2723,W,55.0%,23,21
1609,W,60.0%,23,21
2947,W,53.0%,23,21
1182,W,61.0%,23,21
2565,W,53.0%,23,21
595,W,57.0%,23,21
2978,W,70.0%,23,21
3473,W,63.0%,23,21
3250,W,69.0%,23,21
2393,W,71.0%,23,21
3311,W,69.0%,23,21
1262,W,68.0%,23,21
3443,W,67.0%,23,21
805,W,57.0%,23,21
1480,W,76.0%,23,21
472,W,65.0%,23,21
157,W,62.0%,23,21
1451,W,52.0%,23,21
2332,W,58.0%,23,21
336,W,81.0%,23,21
2205,W,71.0%,23,21
3386,W,62.0%,23,21
3344,W,84.0%,23,21
3023,W,66.0%,23,21
2579,W,50.0%,23,21
3549,W,62.0%,23,21
1007,W,63.0%,23,21
2450,W,53.0%,23,21
3072,W,74.0%,23,21
889,W,82.0%,23,21
483,W,68.0%,23,21
2967,W,76.0%,23,21
1622,W,53.0%,23,21
222,W,53.0%,23,21
2817,W,84.0%,23,21
3453,W,73.0%,23,21
3287,W,70.0%,23,21
3375,W,61.0%,23,21
929,W,54.0%,23,21
852,W,69.0%,23,21
33,W,71.0%,23,21
1985,W,52.0%,23,21
2324,W,75.0%,23,21
2631,W,63.0%,23,21
1823,W,58.0%,23,21
3341,W,69.0%,23,21
1881,W,66.0%,23,21
1914,W,58.0%,23,21
2839,W,61.0%,23,21
3494,W,67.0%,23,21
2256,W,56.0%,23,21
39,W,81.0%,23,21
273,W,53.0%,23,21
3632,W,44.0%,23,21
2153,W,54.0%,23,21
2442,W,68.0%,23,21
894,W,69.0%,23,21
221,W,71.0%,23,21
2000,W,64.0%,23,21
2071,W,80.0%,23,21
2743,W,56.0%,23,21
2337,W,58.0%,23,21
3210,W,76.0%,23,21
682,W,64.0%,23,21
2380,W,61.0%,23,21
543,W,67.0%,23,21
2989,W,57.0%,23,21
3435,W,51.0%,23,21
3078,W,68.0%,23,21
1673,W,74.0%,23,21
1314,W,46.0%,23,21
1006,W,57.0%,23,21
96,W,75.0%,23,21
685,W,69.0%,23,21
2838,W,59.0%,23,21
847,W,62.0%,23,21
115,W,52.0%,23,21
3089,W,57.0%,23,21
693,W,71.0%,23,21
3208,W,72.0%,23,21
58,W,66.0%,23,21
1091,W,60.0%,23,21
3108,W,64.0%,23,21
1375,W,45.0%,23,21
78,W,59.0%,23,21
2576,W,67.0%,23,21
1916,W,68.0%,23,21
2755,W,60.0%,23,21
2019,W,80.0%,23,21
242,W,89.0%,23,21
389,W,62.0%,23,21
1210,W,81.0%,23,21
1645,W,68.0%,23,21
2926,W,75.0%,23,21
2077,W,59.0%,23,21
3627,W,67.0%,23,21
2130,W,69.0%,23,21
2939,W,81.0%,23,21
3635,W,54.0%,23,21
2773,W,67.0%,23,21
627,W,65.0%,23,21
500,W,57.0%,23,21
1300,W,72.0%,23,21
2293,W,70.0%,23,21
1943,W,67.0%,23,21
1687,W,61.0%,23,21
3509,W,60.0%,23,21
2322,W,64.0%,23,21
2428,W,45.0%,23,21
586,W,66.0%,23,21
1515,W,63.0%,23,21
2376,W,66.0%,23,21
1214,W,59.0%,23,21
1547,W,68.0%,23,21
2617,W,56.0%,23,21
3156,W,52.0%,23,21
2434,W,45.0%,23,21
758,W,70.0%,23,21
2083,W,79.0%,23,21
1158,W,66.0%,23,21
1998,W,60.0%,23,21
2239,W,63.0%,23,21
869,W,43.0%,23,21
3625,W,65.0%,23,21
1245,W,64.0%,23,21
584,W,68.0%,23,21
3045,W,77.0%,23,21
2246,W,57.0%,23,21
762,W,59.0%,23,21
653,W,43.0%,23,21
2519,W,53.0%,23,21
2961,W,70.0%,23,21
2094,W,60.0%,23,21
1978,W,69.0%,23,21
1512,W,43.0%,23,21
2310,W,61.0%,23,21
799,W,66.0%,23,21
2738,W,56.0%,23,21
2822,W,63.0%,23,21
2555,W,83.0%,23,21
840,W,74.0%,23,21
2060,W,59.0%,23,21
559,W,34.0%,23,21
3028,W,64.0%,23,21
885,W,54.0%,23,21
1701,W,73.0%,23,21
3387,W,75.0%,23,21
601,W,57.0%,23,21
2861,W,66.0%,23,21
3335,W,56.0%,23,21
1035,W,56.0%,23,21
1737,W,55.0%,23,21
868,W,56.0%,23,21
1852,W,74.0%,23,21
3041,W,77.0%,23,21
900,W,71.0%,23,21
3121,W,62.0%,23,21
1309,W,69.0%,23,21
2999,W,67.0%,23,21
2745,W,75.0%,23,21
1888,W,43.0%,23,21
1060,W,49.0%,23,21
1330,W,64.0%,23,21
3367,W,74.0%,23,21
1461,W,46.0%,23,21
1368,W,57.0%,23,21
377,W,68.0%,23,21
2041,W,72.0%,23,21
969,W,46.0%,23,21
2901,W,61.0%,23,21
3159,W,64.0%,23,21
266,W,57.0%,23,21
2844,W,59.0%,23,21
1595,W,51.0%,23,21
1404,W,63.0%,23,21
3653,W,54.0%,23,21
1408,W,78.0%,23,21
2133,W,48.0%,23,21
561,W,68.0%,23,21
2145,W,53.0%,23,21
309,W,45.0%,23,21
452,W,60.0%,23,21
605,W,38.0%,23,21
3628,W,62.0%,23,21
289,W,61.0%,23,21
3182,W,93.0%,23,21
3648,W,68.0%,23,21
3263,W,58.0%,23,21
3097,W,62.0%,23,21
507,W,57.0%,23,21
2483,W,68.0%,23,21
3412,W,51.0%,23,21
2799,W,70.0%,23,21
282,W,78.0%,23,21
248,W,47.0%,23,21
692,W,65.0%,23,21
3125,W,74.0%,23,21
1290,W,78.0%,23,21
1172,W,72.0%,23,21
1538,W,66.0%,23,21
215,W,47.0%,23,21
3207,W,65.0%,23,21
2288,W,56.0%,23,21
2060,W,59.0%,23,21
2617,W,56.0%,23,21
3210,W,76.0%,23,21
937,W,63.0%,23,21
336,W,81.0%,23,21
1540,W,78.0%,23,21
2161,W,69.0%,23,21
993,W,66.0%,23,21
2319,W,71.0%,23,21
3539,W,58.0%,23,21
1241,W,73.0%,23,21
1420,W,72.0%,23,21
3121,W,62.0%,23,21
2324,W,75.0%,23,21
2339,W,75.0%,23,21
2867,W,58.0%,23,21
39,W,81.0%,23,21
1694,W,74.0%,23,21
1194,W,66.0%,23,21
2203,W,73.0%,23,21
709,W,66.0%,23,21
1897,W,46.0%,23,21
1783,W,74.0%,23,21
359,W,51.0%,23,21
1476,W,78.0%,23,21
2052,W,65.0%,23,21
459,W,60.0%,23,21
28,W,77.0%,23,21
2337,W,58.0%,23,21
3125,W,74.0%,23,21
2509,W,55.0%,23,21
1139,W,47.0%,23,21
