Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year,Hour,Station
2024-12-30,30,22:55,EST,Calm,10.0,Fair,CLR,37.4,28.4,,,70%,,,29.88,0.0,,,,2025-01-02,12,2024,22,KOKV
2024-12-30,30,23:55,EST,W  7,10.0,Fair,CLR,42.8,28.4,,,57%,39.0,,29.88,0.0,,,,2025-01-02,12,2024,23,KOKV
2024-12-31,31,00:55,EST,S  3,10.0,Fair,CLR,37.4,28.4,,,70%,,,29.87,0.0,,,,2025-01-02,12,2024,0,KOKV
2024-12-31,31,01:55,EST,S  5,10.0,Fair,CLR,37.4,30.2,,,75%,34.0,,29.87,0.0,,,,2025-01-02,12,2024,1,KOKV
2024-12-31,31,02:55,EST,Calm,10.0,Fair,CLR,37.4,30.2,,,75%,,,29.88,0.0,,,,2025-01-02,12,2024,2,KOKV
2024-12-31,31,03:55,EST,Calm,10.0,Fair,CLR,35.6,30.2,,,81%,,,29.87,0.0,,,,2025-01-02,12,2024,3,KOKV
2024-12-31,31,04:55,EST,Calm,10.0,Partly Cloudy,SCT120,33.8,30.2,,,87%,,,29.84,0.0,,,,2025-01-02,12,2024,4,KOKV
2024-12-31,31,05:55,EST,Calm,10.0,Mostly Cloudy,BKN110,35.6,32.0,,,87%,,,29.84,0.0,,,,2025-01-02,12,2024,5,KOKV
2024-12-31,31,06:55,EST,Calm,10.0,Fair,CLR,33.8,30.2,,,87%,,,29.83,0.0,,,,2025-01-02,12,2024,6,KOKV
2024-12-31,31,07:55,EST,Calm,10.0,Fair,CLR,32.0,28.4,,,87%,,,29.81,0.0,,,,2025-01-02,12,2024,7,KOKV
2024-12-31,31,08:55,EST,SE  8,10.0,Fair,CLR,42.8,32.0,,,66%,39.0,,29.79,0.0,,,,2025-01-02,12,2024,8,KOKV
2024-12-31,31,09:55,EST,SE  8,10.0,Fair,CLR,48.2,33.8,,,58%,45.0,,29.78,0.0,,,,2025-01-02,12,2024,9,KOKV
2024-12-31,31,10:55,EST,S  16  G 20,10.0,Fair,CLR,51.8,37.4,,,58%,,,29.74,0.0,,,,2025-01-02,12,2024,10,KOKV
2024-12-31,31,11:55,EST,SE  12  G 20,10.0,Mostly Cloudy,BKN027 BKN032 BKN040,51.8,41.0,,,67%,,,29.68,0.0,,,,2025-01-02,12,2024,11,KOKV
2024-12-31,31,12:55,EST,S  13  G 18,10.0,Overcast,OVC025,50.0,41.0,,,71%,46.0,,29.65,0.0,,,,2025-01-02,12,2024,12,KOKV
2024-12-31,31,13:55,EST,SE  10  G 16,10.0,Overcast,SCT029 SCT035 OVC070,48.2,39.2,,,71%,44.0,,29.59,0.0,,,,2025-01-02,12,2024,13,KOKV
2024-12-31,31,14:55,EST,Calm,10.0,Thunderstorm,SCT033 OVC039,48.2,39.2,,,71%,,,29.57,0.0,,,,2025-01-02,12,2024,14,KOKV
2024-12-31,31,15:55,EST,SE  5,10.0,Overcast,SCT031 BKN040 OVC060,50.0,42.8,,,76%,49.0,,29.55,0.0,,,,2025-01-02,12,2024,15,KOKV
2024-12-31,31,16:55,EST,Calm,5.0,Overcast,SCT009 BKN019 OVC049,46.4,44.6,,,93%,,,29.56,0.0,,,,2025-01-02,12,2024,16,KOKV
2024-12-31,31,17:55,EST,NW  3,10.0,Overcast,SCT027 BKN055 OVC100,46.4,44.6,,,93%,,,29.54,0.0,,,,2025-01-02,12,2024,17,KOKV
2024-12-31,31,18:55,EST,NW  17  G 26,2.5,Overcast,SCT011 BKN024 OVC046,46.4,44.6,,,93%,40.0,,29.58,0.0,,,,2025-01-02,12,2024,18,KOKV
2024-12-31,31,19:55,EST,Calm,10.0,Mostly Cloudy,SCT065 BKN085 BKN100,44.6,42.8,,,93%,,,29.55,0.0,,,,2025-01-02,12,2024,19,KOKV
2024-12-31,31,20:55,EST,Calm,1.25,Partly Cloudy,SCT001,42.8,42.8,,,100%,,,29.55,0.0,,,,2025-01-02,12,2024,20,KOKV
2024-12-31,31,21:55,EST,W  3,10.0,Overcast,BKN050 OVC085,42.8,42.8,,,100%,,,29.55,0.0,,,,2025-01-02,12,2024,21,KOKV
2024-12-31,31,22:55,EST,Calm,5.0,Partly Cloudy,SCT055 SCT070 SCT085,41.0,39.2,,,93%,,,29.55,0.0,,,,2025-01-02,12,2024,22,KOKV
2024-12-31,31,23:55,EST,S  3,3.0,Mostly Cloudy,BKN075,39.2,37.4,,,93%,,,29.53,0.0,,,,2025-01-02,12,2024,23,KOKV
2025-01-01,1,00:55,EST,W  6,10.0,Mostly Cloudy,SCT041 SCT046 BKN080,41.0,41.0,,,100%,38.0,,29.53,0.0,,,,2025-01-02,1,2025,0,KOKV
2025-01-01,1,01:55,EST,W  10,10.0,Overcast,SCT048 BKN060 OVC080,44.6,39.2,,,81%,40.0,,29.55,0.0,,,,2025-01-02,1,2025,1,KOKV
2025-01-01,1,02:55,EST,W  14  G 23,10.0,Mostly Cloudy,SCT070 BKN080,44.6,35.6,,,71%,39.0,,29.58,0.0,,,,2025-01-02,1,2025,2,KOKV
2025-01-01,1,03:55,EST,W  17  G 26,10.0,Overcast,OVC048,44.6,32.0,,,61%,38.0,,29.6,0.0,,,,2025-01-02,1,2025,3,KOKV
2025-01-01,1,04:55,EST,W  16,10.0,Mostly Cloudy,BKN044 BKN065 BKN120,42.8,32.0,,,66%,36.0,,29.62,0.0,,,,2025-01-02,1,2025,4,KOKV
2025-01-01,1,05:55,EST,W  25  G 32,10.0,Overcast and Breezy,OVC042,42.8,30.2,,,61%,34.0,,29.66,0.0,,,,2025-01-02,1,2025,5,KOKV
2025-01-01,1,06:55,EST,W  12  G 23,10.0,Mostly Cloudy,BKN042,41.0,28.4,,,61%,35.0,,29.69,0.0,,,,2025-01-02,1,2025,6,KOKV
2025-01-01,1,07:55,EST,W  23  G 36,10.0,Partly Cloudy and Breezy,SCT038 SCT044,41.0,28.4,,,61%,32.0,,29.72,0.0,,,,2025-01-02,1,2025,7,KOKV
2025-01-01,1,08:55,EST,W  25  G 35,10.0,Partly Cloudy and Breezy,SCT036,41.0,30.2,,,66%,31.0,,29.76,0.0,,,,2025-01-02,1,2025,8,KOKV
2025-01-01,1,09:55,EST,W  21  G 28,10.0,Overcast and Breezy,OVC038,41.0,30.2,,,66%,32.0,,29.81,0.0,,,,2025-01-02,1,2025,9,KOKV
2025-01-01,1,10:55,EST,W  13  G 24,10.0,Overcast,OVC038,41.0,28.4,,,61%,34.0,,29.83,0.0,,,,2025-01-02,1,2025,10,KOKV
2025-01-01,1,11:55,EST,W  17  G 24,10.0,Overcast,OVC040,41.0,28.4,,,61%,33.0,,29.83,0.0,,,,2025-01-02,1,2025,11,KOKV
2025-01-01,1,12:55,EST,NW  12  G 23,10.0,Overcast,OVC040,41.0,28.4,,,61%,35.0,,29.84,0.0,,,,2025-01-02,1,2025,12,KOKV
2025-01-01,1,13:55,EST,W  22  G 31,10.0,Overcast and Breezy,OVC040,41.0,28.4,,,61%,32.0,,29.86,0.0,,,,2025-01-02,1,2025,13,KOKV
2025-01-01,1,14:55,EST,W  16  G 25,10.0,Overcast,BKN043 OVC049,39.2,26.6,,,61%,31.0,,29.9,0.0,,,,2025-01-02,1,2025,14,KOKV
2025-01-01,1,15:55,EST,W  17  G 26,10.0,Overcast,BKN047 OVC060,39.2,24.8,,,56%,31.0,,29.91,0.0,,,,2025-01-02,1,2025,15,KOKV
2025-01-01,1,16:55,EST,W  16  G 22,10.0,Partly Cloudy,SCT047 SCT060,37.4,24.8,,,60%,29.0,,29.9,0.0,,,,2025-01-02,1,2025,16,KOKV
2025-01-01,1,17:55,EST,W  9  G 21,10.0,Partly Cloudy,SCT060,37.4,23.0,,,56%,31.0,,29.92,0.0,,,,2025-01-02,1,2025,17,KOKV
2025-01-01,1,18:55,EST,W  6,10.0,Partly Cloudy,SCT048 SCT060,35.6,24.8,,,65%,31.0,,29.94,0.0,,,,2025-01-02,1,2025,18,KOKV
2025-01-01,1,19:55,EST,W  10  G 22,10.0,Mostly Cloudy,BKN048 BKN060,37.4,24.8,,,60%,31.0,,29.95,0.0,,,,2025-01-02,1,2025,19,KOKV
2025-01-01,1,20:55,EST,W  10  G 21,10.0,Overcast,BKN046 OVC050,37.4,23.0,,,56%,31.0,,29.95,0.0,,,,2025-01-02,1,2025,20,KOKV
2025-01-01,1,21:55,EST,W  14  G 24,10.0,Overcast,OVC048,35.6,21.2,,,56%,27.0,,29.97,0.0,,,,2025-01-02,1,2025,21,KOKV
2025-01-01,1,22:55,EST,W  17  G 24,10.0,Overcast,OVC050,33.8,19.4,,,56%,24.0,,30.01,0.0,,,,2025-01-04,1,2025,22,KOKV
2025-01-01,1,23:55,EST,W  13  G 18,10.0,Overcast,BKN047 OVC050,33.8,19.4,,,56%,25.0,,30.03,0.0,,,,2025-01-04,1,2025,23,KOKV
2025-01-02,2,00:55,EST,W  12  G 24,10.0,Overcast,SCT049 OVC060,32.0,19.4,,,60%,24.0,,30.03,0.0,,,,2025-01-04,1,2025,0,KOKV
2025-01-02,2,01:55,EST,NW  21  G 33,10.0,Overcast and Breezy,OVC050,32.0,15.8,,,51%,21.0,,30.04,0.0,,,,2025-01-04,1,2025,1,KOKV
2025-01-02,2,02:55,EST,W  20  G 30,10.0,Overcast,OVC060,32.0,14.0,,,47%,21.0,,30.06,0.0,,,,2025-01-04,1,2025,2,KOKV
2025-01-02,2,03:55,EST,W  15,10.0,Overcast,OVC060,32.0,15.8,,,51%,22.0,,30.06,0.0,,,,2025-01-04,1,2025,3,KOKV
2025-01-02,2,04:55,EST,NW  17  G 26,10.0,Overcast,OVC050,32.0,17.6,,,55%,22.0,,30.06,0.0,,,,2025-01-04,1,2025,4,KOKV
2025-01-02,2,05:55,EST,W  14  G 18,10.0,Overcast,OVC049,32.0,19.4,,,60%,23.0,,30.08,0.0,,,,2025-01-04,1,2025,5,KOKV
2025-01-02,2,06:55,EST,W  21  G 31,10.0,Overcast and Breezy,OVC048,32.0,17.6,,,55%,21.0,,30.09,0.0,,,,2025-01-04,1,2025,6,KOKV
2025-01-02,2,07:55,EST,W  13  G 23,10.0,Overcast,OVC048,32.0,15.8,,,51%,23.0,,30.14,0.0,,,,2025-01-04,1,2025,7,KOKV
2025-01-02,2,08:55,EST,W  8  G 21,10.0,Overcast,OVC048,32.0,15.8,,,51%,25.0,,30.17,0.0,,,,2025-01-04,1,2025,8,KOKV
2025-01-02,2,09:55,EST,W  9  G 21,10.0,Overcast,OVC046,32.0,17.6,,,55%,25.0,,30.18,0.0,,,,2025-01-04,1,2025,9,KOKV
2025-01-02,2,10:55,EST,W  17  G 23,10.0,Overcast,OVC048,33.8,17.6,,,51%,24.0,,30.17,0.0,,,,2025-01-04,1,2025,10,KOKV
2025-01-02,2,11:55,EST,W  14  G 24,10.0,Overcast,OVC048,33.8,17.6,,,51%,25.0,,30.15,0.0,,,,2025-01-04,1,2025,11,KOKV
2025-01-02,2,12:55,EST,W  14  G 20,10.0,Overcast,OVC050,35.6,19.4,,,52%,27.0,,30.12,0.0,,,,2025-01-04,1,2025,12,KOKV
2025-01-02,2,13:55,EST,W  15  G 21,10.0,Overcast,OVC048,35.6,17.6,,,48%,27.0,,30.1,0.0,,,,2025-01-04,1,2025,13,KOKV
2025-01-02,2,14:55,EST,W  14  G 23,10.0,Overcast,OVC050,35.6,19.4,,,52%,27.0,,30.09,0.0,,,,2025-01-04,1,2025,14,KOKV
2025-01-02,2,15:55,EST,W  12  G 18,10.0,Mostly Cloudy,BKN050,37.4,17.6,,,45%,30.0,,30.1,0.0,,,,2025-01-04,1,2025,15,KOKV
2025-01-02,2,16:55,EST,NW  7,10.0,Partly Cloudy,SCT050,33.8,17.6,,,51%,28.0,,30.11,0.0,,,,2025-01-04,1,2025,16,KOKV
2025-01-02,2,17:55,EST,W  7,10.0,Fair,CLR,33.8,17.6,,,51%,28.0,,30.12,0.0,,,,2025-01-04,1,2025,17,KOKV
2025-01-02,2,18:55,EST,SW  3,10.0,Partly Cloudy,SCT050,30.2,19.4,,,64%,,,30.12,0.0,,,,2025-01-04,1,2025,18,KOKV
2025-01-02,2,19:55,EST,S  3,10.0,Mostly Cloudy,BKN050,30.2,19.4,,,64%,,,30.11,0.0,,,,2025-01-04,1,2025,19,KOKV
2025-01-02,2,20:55,EST,W  13  G 16,10.0,Partly Cloudy,SCT050,33.8,19.4,,,56%,25.0,,30.1,0.0,,,,2025-01-04,1,2025,20,KOKV
2025-01-02,2,21:55,EST,W  15  G 23,10.0,Partly Cloudy,SCT050,33.8,19.4,,,56%,25.0,,30.1,0.0,,,,2025-01-04,1,2025,21,KOKV
2025-01-02,2,22:55,EST,NW  25  G 33,10.0,Partly Cloudy and Breezy,SCT049,33.8,19.4,,,56%,22.0,,30.11,0.0,,,,2025-01-04,1,2025,22,KOKV
2025-01-02,2,23:55,EST,NW  21  G 25,10.0,Partly Cloudy and Breezy,SCT047,32.0,19.4,,,60%,21.0,,30.11,0.0,,,,2025-01-04,1,2025,23,KOKV
2025-01-03,3,00:55,EST,W  12  G 24,10.0,Fair,CLR,32.0,19.4,,,60%,24.0,,30.1,0.0,,,,2025-01-04,1,2025,0,KOKV
2025-01-03,3,01:55,EST,Calm,10.0,Partly Cloudy,SCT043,32.0,19.4,,,60%,,,30.1,0.0,,,,2025-01-04,1,2025,1,KOKV
2025-01-03,3,02:55,EST,Calm,10.0,Overcast,OVC043,30.2,19.4,,,64%,,,30.11,0.0,,,,2025-01-04,1,2025,2,KOKV
2025-01-03,3,03:55,EST,Calm,10.0,Mostly Cloudy,BKN043,30.2,19.4,,,64%,,,30.09,0.0,,,,2025-01-04,1,2025,3,KOKV
2025-01-03,3,04:55,EST,Calm,10.0,Overcast,OVC045,32.0,21.2,,,64%,,,30.07,0.0,,,,2025-01-04,1,2025,4,KOKV
2025-01-03,3,05:55,EST,E  3,10.0,Partly Cloudy,SCT043,28.4,19.4,,,69%,,,30.05,0.0,,,,2025-01-04,1,2025,5,KOKV
2025-01-03,3,06:55,EST,Calm,10.0,Mostly Cloudy,BKN050,26.6,19.4,,,74%,,,30.04,0.0,,,,2025-01-04,1,2025,6,KOKV
2025-01-03,3,07:55,EST,Calm,10.0,Overcast,BKN050 OVC060,26.6,21.2,,,80%,,,30.01,0.0,,,,2025-01-04,1,2025,7,KOKV
2025-01-03,3,08:55,EST,Calm,10.0,Mostly Cloudy,BKN090,28.4,21.2,,,74%,,,29.98,0.0,,,,2025-01-04,1,2025,8,KOKV
2025-01-03,3,09:55,EST,S  5,10.0,Overcast,BKN055 OVC065,32.0,23.0,,,69%,28.0,,29.95,0.0,,,,2025-01-04,1,2025,9,KOKV
2025-01-03,3,10:55,EST,SW  8,10.0,Overcast,OVC050,35.6,23.0,,,60%,30.0,,29.9,0.0,,,,2025-01-04,1,2025,10,KOKV
2025-01-03,3,11:55,EST,SW  9,10.0,Overcast,SCT044 OVC050,37.4,24.8,,,60%,31.0,,29.86,0.0,,,,2025-01-04,1,2025,11,KOKV
2025-01-03,3,12:55,EST,SW  8,10.0,Overcast,SCT026 BKN031 OVC046,35.6,28.4,,,75%,30.0,,29.83,0.0,,,,2025-01-04,1,2025,12,KOKV
2025-01-03,3,13:55,EST,SW  8,1.0,Overcast,OVC006,32.0,32.0,,,100%,25.0,,29.82,0.0,,,,2025-01-04,1,2025,13,KOKV
2025-01-03,3,14:55,EST,W  9,10.0,Overcast,SCT041 SCT050 OVC090,32.0,28.4,,,87%,25.0,,29.82,0.0,,,,2025-01-04,1,2025,14,KOKV
2025-01-03,3,15:55,EST,NW  15  G 21,10.0,Overcast,SCT009 BKN039 OVC070,32.0,28.4,,,87%,22.0,,29.87,0.0,,,,2025-01-04,1,2025,15,KOKV
2025-01-03,3,16:55,EST,W  16  G 21,10.0,Partly Cloudy,SCT035 SCT050,30.2,21.2,,,69%,20.0,,29.9,0.0,,,,2025-01-04,1,2025,16,KOKV
2025-01-03,3,17:55,EST,W  12  G 23,10.0,Mostly Cloudy,SCT043 BKN085,28.4,17.6,,,64%,19.0,,29.93,0.0,,,,2025-01-04,1,2025,17,KOKV
