starting_year,student_id,Fall,Winter,Spring
2023,2020-1081,68.0,63.0,64.0
2023,2020-1082,77.0,76.0,94.0
2023,2020-1083,75.0,,96.0
2023,2020-1084,74.0,68.0,76.0
2023,2020-1085,56.0,46.0,60.0
2023,2020-1086,70.0,63.0,72.0
2023,2020-1087,81.0,71.0,78.0
2023,2020-1088,64.0,58.0,60.0
2023,2020-1089,76.0,66.0,71.0
2023,2020-109,77.0,74.0,98.0
2023,2020-1090,68.0,,69.0
2023,2020-1091,73.0,63.0,73.0
2023,2020-1092,56.0,52.0,56.0
2023,2020-1093,67.0,65.0,67.0
2023,2020-1094,88.0,84.0,100.0
2023,2020-1095,69.0,,83.0
2023,2020-1096,58.0,54.0,59.0
2023,2020-1097,69.0,66.0,80.0
2023,2020-1098,69.0,60.0,81.0
2023,2020-1099,75.0,72.0,74.0
2023,2020-11,92.0,84.0,100.0
2023,2020-110,58.0,53.0,61.0
2023,2020-1100,43.0,36.0,47.0
2023,2020-1101,70.0,61.0,68.0
2023,2020-1102,65.0,62.0,64.0
2023,2020-1103,64.0,61.0,63.0
2023,2020-1104,79.0,73.0,76.0
2023,2020-1105,67.0,59.0,67.0
2023,2020-1106,70.0,66.0,74.0
2023,2020-1107,59.0,56.0,62.0
2023,2020-1108,74.0,65.0,83.0
2023,2020-1109,75.0,,79.0
2023,2020-111,74.0,,76.0
2023,2020-1110,86.0,82.0,84.0
2023,2020-1111,64.0,60.0,79.0
2023,2020-1112,76.0,,88.0
2023,2020-1113,75.0,68.0,71.0
2023,2020-1114,68.0,62.0,69.0
2023,2020-1115,63.0,,61.0
2023,2020-1116,70.0,,81.0
2023,2020-1117,79.0,,76.0
2023,2020-1118,77.0,74.0,75.0
2023,2020-1119,63.0,60.0,60.0
2023,2020-112,60.0,55.0,63.0
2023,2020-1120,67.0,64.0,66.0
2023,2020-1121,78.0,74.0,74.0
2023,2020-1122,78.0,71.0,73.0
2023,2020-1123,74.0,71.0,70.0
2023,2020-1124,79.0,,97.0
2023,2020-1125,80.0,79.0,79.0
2023,2020-1126,62.0,57.0,66.0
2023,2020-1127,46.0,40.0,44.0
2023,2020-1128,72.0,70.0,76.0
2023,2020-1129,53.0,52.0,56.0
2023,2020-113,70.0,65.0,69.0
2023,2020-1130,66.0,61.0,63.0
2023,2020-1131,54.0,48.0,49.0
2023,2020-1132,71.0,69.0,77.0
2023,2020-1133,93.0,87.0,100.0
2023,2020-1134,85.0,77.0,100.0
2023,2020-1135,72.0,68.0,67.0
2023,2020-1136,62.0,52.0,71.0
2023,2020-1137,63.0,53.0,61.0
2023,2020-1138,61.0,52.0,59.0
2023,2020-1139,68.0,58.0,71.0
2023,2020-114,71.0,62.0,66.0
2023,2020-1140,49.0,47.0,53.0
2023,2020-1141,68.0,66.0,65.0
2023,2020-1142,85.0,76.0,82.0
2023,2020-1143,72.0,65.0,91.0
2023,2020-1144,70.0,67.0,68.0
2023,2020-1145,67.0,57.0,73.0
2023,2020-1146,67.0,61.0,70.0
2023,2020-1147,78.0,73.0,74.0
2023,2020-1148,64.0,58.0,66.0
2023,2020-1149,76.0,66.0,79.0
2023,2020-115,66.0,59.0,69.0
2023,2020-1150,68.0,67.0,67.0
2023,2020-1151,52.0,50.0,54.0
2023,2020-1152,65.0,58.0,60.0
2023,2020-1153,68.0,64.0,79.0
2023,2020-1154,74.0,73.0,72.0
2023,2020-1155,78.0,75.0,100.0
2023,2020-1156,81.0,73.0,84.0
2023,2020-1157,70.0,68.0,68.0
2023,2020-1158,75.0,65.0,77.0
2023,2020-1159,78.0,70.0,93.0
2023,2020-116,54.0,50.0,53.0
2023,2020-1160,69.0,65.0,90.0
2023,2020-1161,81.0,,82.0
2023,2020-1162,70.0,68.0,69.0
2023,2020-1163,98.0,90.0,93.0
2023,2020-1164,88.0,85.0,100.0
2023,2020-1165,61.0,53.0,85.0
2023,2020-1166,65.0,63.0,68.0
2023,2020-1167,83.0,80.0,86.0
2023,2020-1168,81.0,80.0,82.0
2023,2020-1169,73.0,70.0,94.0
2023,2020-117,90.0,89.0,92.0
2023,2020-1170,75.0,69.0,70.0
2023,2020-1171,76.0,67.0,74.0
2023,2020-1172,61.0,53.0,72.0
2023,2020-1173,56.0,53.0,55.0
2023,2020-1174,57.0,55.0,55.0
2023,2020-1175,72.0,62.0,74.0
2023,2020-1176,53.0,44.0,55.0
2023,2020-1177,55.0,54.0,51.0
2023,2020-1178,68.0,60.0,80.0
2023,2020-1179,73.0,,71.0
2023,2020-118,62.0,55.0,66.0
2023,2020-1180,68.0,63.0,66.0
2023,2020-1181,60.0,53.0,62.0
2023,2020-1182,79.0,69.0,83.0
2023,2020-1183,81.0,73.0,77.0
2023,2020-1184,76.0,69.0,75.0
2023,2020-1185,75.0,68.0,73.0
2023,2020-1186,81.0,79.0,79.0
2023,2020-1187,62.0,60.0,64.0
2023,2020-1188,64.0,58.0,64.0
2023,2020-1189,55.0,,75.0
2023,2020-119,66.0,61.0,90.0
2023,2020-1190,61.0,55.0,60.0
2023,2020-1191,63.0,53.0,71.0
2023,2020-1192,65.0,61.0,61.0
2023,2020-1193,53.0,,49.0
2023,2020-1194,77.0,67.0,80.0
2023,2020-1195,89.0,79.0,93.0
2023,2020-1196,73.0,,75.0
2023,2020-1197,63.0,56.0,59.0
2023,2020-1198,67.0,60.0,82.0
2023,2020-1199,76.0,71.0,98.0
2023,2020-12,70.0,,71.0
2023,2020-120,85.0,83.0,95.0
2023,2020-1200,60.0,50.0,58.0
2023,2020-1201,81.0,75.0,81.0
2023,2020-1202,62.0,55.0,62.0
2023,2020-1203,61.0,51.0,65.0
2023,2020-1204,79.0,71.0,90.0
2023,2020-1205,62.0,57.0,66.0
2023,2020-1206,70.0,68.0,72.0
2023,2020-1207,81.0,77.0,94.0
2023,2020-1208,77.0,71.0,96.0
2023,2020-1209,78.0,69.0,79.0
2023,2020-121,64.0,55.0,65.0
2023,2020-1210,77.0,76.0,76.0
2023,2020-1211,77.0,,78.0
2023,2020-1212,73.0,69.0,68.0
2023,2020-1213,61.0,52.0,58.0
2023,2020-1214,60.0,55.0,81.0
2023,2020-1215,74.0,,72.0
2023,2020-1216,64.0,54.0,65.0
2023,2020-1217,76.0,,71.0
2023,2020-1218,85.0,83.0,96.0
2023,2020-1219,78.0,77.0,75.0
2023,2020-122,70.0,69.0,71.0
2023,2020-1220,70.0,60.0,65.0
2023,2020-1221,72.0,71.0,70.0
2023,2020-1222,78.0,76.0,79.0
2023,2020-1223,60.0,58.0,64.0
2023,2020-1224,48.0,44.0,47.0
2023,2020-1225,57.0,51.0,59.0
2023,2020-1226,60.0,51.0,55.0
2023,2020-1227,63.0,,60.0
2023,2020-1228,74.0,72.0,87.0
2023,2020-1229,52.0,44.0,53.0
2023,2020-123,55.0,,71.0
2023,2020-1230,64.0,60.0,59.0
2023,2020-1231,70.0,69.0,65.0
2023,2020-1232,73.0,,75.0
2023,2020-1233,68.0,66.0,82.0
2023,2020-1234,75.0,,71.0
2023,2020-1235,77.0,75.0,75.0
2023,2020-1236,61.0,54.0,69.0
2023,2020-1237,59.0,52.0,80.0
2023,2020-1238,88.0,84.0,100.0
2023,2020-1239,59.0,54.0,56.0
2023,2020-124,78.0,73.0,77.0
2023,2020-1240,67.0,62.0,71.0
2023,2020-1241,48.0,47.0,51.0
2023,2020-1242,67.0,,90.0
2023,2020-1243,63.0,61.0,64.0
2023,2020-1244,73.0,70.0,73.0
2023,2020-1245,79.0,76.0,82.0
2023,2020-1246,64.0,55.0,72.0
2023,2020-1247,69.0,,71.0
2023,2020-1248,76.0,66.0,80.0
2023,2020-1249,71.0,63.0,66.0
2023,2020-125,73.0,,73.0
2023,2020-1250,72.0,63.0,90.0
2023,2020-1251,39.0,35.0,37.0
2023,2020-1252,83.0,79.0,80.0
2023,2020-1253,72.0,66.0,76.0
2023,2020-1254,71.0,,81.0
2023,2020-1255,79.0,70.0,99.0
2023,2020-1256,67.0,63.0,65.0
2023,2020-1257,92.0,88.0,88.0
2023,2020-1258,84.0,74.0,96.0
2023,2020-1259,76.0,,77.0
2023,2020-126,58.0,49.0,62.0
2023,2020-1260,57.0,48.0,61.0
2023,2020-1261,66.0,58.0,64.0
2023,2020-1262,43.0,38.0,43.0
2023,2020-1263,61.0,52.0,76.0
2023,2020-1264,72.0,66.0,95.0
2023,2020-1265,70.0,65.0,71.0
2023,2020-1266,77.0,76.0,80.0
2023,2020-1267,68.0,67.0,67.0
2023,2020-1268,92.0,89.0,98.0
2023,2020-1269,74.0,69.0,77.0
2023,2020-127,71.0,67.0,70.0
2023,2020-1270,70.0,62.0,69.0
2023,2020-1271,86.0,78.0,85.0
2023,2020-1272,80.0,75.0,99.0
2023,2020-1273,73.0,63.0,70.0
2023,2020-1274,73.0,67.0,72.0
2023,2020-1275,61.0,58.0,62.0
2023,2020-1276,45.0,36.0,48.0
2023,2020-1277,65.0,60.0,84.0
2023,2020-1278,69.0,61.0,66.0
2023,2020-1279,77.0,,77.0
2023,2020-128,70.0,65.0,71.0
2023,2020-1280,64.0,57.0,59.0
2023,2020-1281,52.0,49.0,64.0
2023,2020-1282,65.0,60.0,66.0
2023,2020-1283,63.0,60.0,61.0
2023,2020-1284,81.0,73.0,96.0
2023,2020-1285,37.0,33.0,50.0
2023,2020-1286,64.0,57.0,85.0
2023,2020-1287,85.0,79.0,100.0
2023,2020-1288,59.0,51.0,73.0
2023,2020-1289,84.0,78.0,81.0
2023,2020-129,68.0,67.0,92.0
2023,2020-1290,75.0,69.0,93.0
2023,2020-1291,85.0,77.0,88.0
2023,2020-1292,67.0,59.0,62.0
2023,2020-1293,82.0,73.0,81.0
2023,2020-1294,86.0,76.0,100.0
2023,2020-1295,55.0,,59.0
2023,2020-1296,57.0,53.0,55.0
2023,2020-1297,77.0,,76.0
2023,2020-1298,75.0,66.0,72.0
2023,2020-1299,82.0,81.0,84.0
2023,2020-13,51.0,47.0,75.0
2023,2020-130,69.0,59.0,67.0
2023,2020-1300,80.0,70.0,96.0
2023,2020-1301,68.0,62.0,66.0
2023,2020-1302,66.0,61.0,79.0
2023,2020-1303,54.0,53.0,76.0
2023,2020-1304,60.0,51.0,64.0
2023,2020-1305,66.0,65.0,69.0
2023,2020-1306,70.0,67.0,66.0
2023,2020-1307,80.0,72.0,81.0
2023,2020-1308,56.0,48.0,68.0
2023,2020-1309,86.0,82.0,99.0
2023,2020-131,82.0,76.0,100.0
2023,2020-1310,70.0,67.0,70.0
2023,2020-1311,71.0,66.0,73.0
2023,2020-1312,63.0,,68.0
2023,2020-1313,89.0,84.0,84.0
2023,2020-1314,73.0,69.0,75.0
2023,2020-1315,65.0,64.0,86.0
2023,2020-1316,48.0,,53.0
2023,2020-1317,75.0,,80.0
2023,2020-1318,75.0,69.0,95.0
2023,2020-1319,52.0,,52.0
2023,2020-132,51.0,50.0,51.0
2023,2020-1320,57.0,47.0,56.0
2023,2020-1321,70.0,65.0,70.0
2023,2020-1322,68.0,59.0,64.0
2023,2020-1323,69.0,60.0,78.0
2023,2020-1324,67.0,58.0,66.0
2023,2020-1325,61.0,57.0,66.0
2023,2020-1326,57.0,54.0,61.0
2023,2020-1327,54.0,45.0,72.0
2023,2020-1328,88.0,82.0,84.0
2023,2020-1329,67.0,,68.0
2023,2020-133,65.0,59.0,71.0
2023,2020-1330,86.0,80.0,87.0
2023,2020-1331,80.0,77.0,78.0
2023,2020-1332,60.0,58.0,57.0
2023,2020-1333,70.0,60.0,88.0
2023,2020-1334,75.0,71.0,79.0
2023,2020-1335,62.0,56.0,77.0
2023,2020-1336,80.0,,83.0
2023,2020-1337,76.0,72.0,77.0
2023,2020-1338,55.0,52.0,73.0
2023,2020-1339,65.0,,64.0
2023,2020-134,82.0,80.0,80.0
2023,2020-1340,70.0,63.0,87.0
2023,2020-1341,61.0,56.0,58.0
2023,2020-1342,62.0,52.0,64.0
2023,2020-1343,70.0,64.0,68.0
2023,2020-1344,73.0,70.0,74.0
2023,2020-1345,50.0,49.0,51.0
2023,2020-1346,59.0,58.0,62.0
2023,2020-1347,66.0,,61.0
2023,2020-1348,64.0,54.0,63.0
2023,2020-1349,69.0,64.0,77.0
2023,2020-135,93.0,92.0,88.0
2023,2020-1350,68.0,60.0,68.0
2023,2020-1351,71.0,,68.0
2023,2020-1352,74.0,69.0,73.0
2023,2020-1353,67.0,,71.0
2023,2020-1354,68.0,64.0,67.0
2023,2020-1355,71.0,67.0,69.0
2023,2020-1356,72.0,,70.0
2023,2020-1357,74.0,65.0,76.0
2023,2020-1358,58.0,51.0,74.0
2023,2020-1359,68.0,65.0,69.0
2023,2020-136,55.0,,67.0
2023,2020-1360,63.0,62.0,60.0
2023,2020-1361,72.0,67.0,69.0
2023,2020-1362,43.0,41.0,42.0
2023,2020-1363,77.0,,76.0
2023,2020-1364,59.0,50.0,61.0
2023,2020-1365,78.0,75.0,73.0
2023,2020-1366,63.0,55.0,64.0
2023,2020-1367,82.0,75.0,85.0
2023,2020-1368,62.0,59.0,60.0
2023,2020-1369,69.0,68.0,72.0
2023,2020-137,62.0,,59.0
2023,2020-1370,77.0,74.0,72.0
2023,2020-1371,75.0,71.0,73.0
2023,2020-1372,85.0,77.0,84.0
2023,2020-1373,78.0,76.0,76.0
2023,2020-1374,67.0,63.0,66.0
2023,2020-1375,63.0,54.0,61.0
2023,2020-1376,64.0,59.0,62.0
2023,2020-1377,75.0,74.0,72.0
2023,2020-1378,72.0,68.0,71.0
2023,2020-1379,76.0,67.0,82.0
2023,2020-138,73.0,65.0,71.0
2023,2020-1380,74.0,67.0,78.0
2023,2020-1381,81.0,75.0,80.0
2023,2020-1382,67.0,62.0,86.0
2023,2020-1383,80.0,74.0,98.0
2023,2020-1384,63.0,61.0,61.0
2023,2020-1385,70.0,62.0,75.0
2023,2020-1386,82.0,79.0,100.0
2023,2020-1387,72.0,68.0,67.0
2023,2020-1388,72.0,64.0,76.0
2023,2020-1389,89.0,87.0,88.0
2023,2020-139,71.0,,72.0
2023,2020-1390,80.0,74.0,94.0
2023,2020-1391,71.0,65.0,69.0
2023,2020-1392,58.0,52.0,56.0
2023,2020-1393,72.0,64.0,73.0
2023,2020-1394,88.0,82.0,86.0
2023,2020-1395,62.0,60.0,64.0
2023,2020-1396,55.0,51.0,77.0
2023,2020-1397,76.0,72.0,79.0
2023,2020-1398,60.0,,84.0
2023,2020-1399,74.0,,95.0
2023,2020-14,71.0,70.0,75.0
2023,2020-140,88.0,79.0,100.0
2023,2020-1400,70.0,67.0,70.0
2023,2020-1401,73.0,69.0,76.0
2023,2020-1402,83.0,78.0,96.0
2023,2020-1403,79.0,75.0,80.0
2023,2020-1404,76.0,73.0,77.0
2023,2020-1405,88.0,87.0,92.0
2023,2020-1406,78.0,73.0,92.0
2023,2020-1407,65.0,57.0,85.0
2023,2020-1408,73.0,65.0,73.0
2023,2020-1409,61.0,,74.0
2023,2020-141,57.0,52.0,54.0
2023,2020-1410,69.0,67.0,70.0
2023,2020-1411,74.0,73.0,77.0
2023,2020-1412,54.0,52.0,66.0
2023,2020-1413,72.0,67.0,74.0
2023,2020-1414,90.0,,91.0
2023,2020-1415,86.0,84.0,86.0
2023,2020-1416,94.0,84.0,93.0
2023,2020-1417,75.0,,73.0
2023,2020-1418,78.0,72.0,95.0
2023,2020-1419,66.0,,76.0
2023,2020-142,80.0,78.0,100.0
2023,2020-1420,68.0,59.0,70.0
2023,2020-1421,64.0,61.0,61.0
2023,2020-1422,66.0,59.0,69.0
2023,2020-1423,67.0,58.0,79.0
2023,2020-1424,78.0,72.0,78.0
2023,2020-1425,74.0,66.0,73.0
2023,2020-1426,49.0,,52.0
2023,2020-1427,71.0,69.0,70.0
2023,2020-1428,65.0,63.0,81.0
2023,2020-1429,70.0,69.0,86.0
2023,2020-143,85.0,75.0,80.0
2023,2020-1430,70.0,65.0,78.0
2023,2020-1431,60.0,57.0,56.0
2023,2020-1432,84.0,79.0,79.0
2023,2020-1433,66.0,,79.0
2023,2020-1434,64.0,,62.0
2023,2020-1435,72.0,66.0,67.0
2023,2020-1436,50.0,42.0,51.0
2023,2020-1437,72.0,70.0,82.0
2023,2020-1438,69.0,64.0,74.0
2023,2020-1439,68.0,64.0,67.0
2023,2020-144,70.0,67.0,73.0
2023,2020-1440,77.0,72.0,72.0
2023,2020-1441,62.0,,84.0
2023,2020-1442,56.0,,51.0
2023,2020-1443,70.0,60.0,92.0
2023,2020-1444,99.0,94.0,100.0
2023,2020-1445,75.0,73.0,71.0
2023,2020-1446,66.0,60.0,66.0
2023,2020-1447,62.0,61.0,58.0
2023,2020-1448,64.0,59.0,71.0
2023,2020-1449,72.0,62.0,74.0
2023,2020-145,65.0,,62.0
2023,2020-1450,60.0,58.0,65.0
2023,2020-1451,70.0,60.0,65.0
2023,2020-1452,64.0,61.0,65.0
2023,2020-1453,74.0,72.0,72.0
2023,2020-1454,53.0,44.0,68.0
2023,2020-1455,71.0,63.0,83.0
2023,2020-1456,72.0,62.0,96.0
2023,2020-1457,82.0,,82.0
2023,2020-1458,83.0,81.0,83.0
2023,2020-1459,63.0,61.0,63.0
2023,2020-146,62.0,59.0,57.0
2023,2020-1460,83.0,81.0,85.0
2023,2020-1461,67.0,57.0,69.0
2023,2020-1462,60.0,59.0,55.0
2023,2020-1463,65.0,55.0,81.0
2023,2020-1464,79.0,73.0,81.0
2023,2020-1465,57.0,54.0,52.0
2023,2020-1466,74.0,70.0,73.0
2023,2020-1467,59.0,58.0,54.0
2023,2020-1468,79.0,,79.0
2023,2020-1469,65.0,61.0,83.0
2023,2020-147,85.0,,84.0
2023,2020-1470,74.0,67.0,78.0
2023,2020-1471,80.0,74.0,75.0
2023,2020-1472,73.0,69.0,77.0
2023,2020-1473,61.0,56.0,61.0
2023,2020-1474,69.0,60.0,82.0
2023,2020-1475,62.0,59.0,62.0
2023,2020-1476,79.0,69.0,100.0
2023,2020-1477,66.0,65.0,69.0
2023,2020-1478,58.0,57.0,58.0
2023,2020-1479,59.0,54.0,68.0
2023,2020-148,81.0,75.0,83.0
2023,2020-1480,64.0,58.0,59.0
2023,2020-1481,62.0,,61.0
2023,2020-1482,73.0,68.0,80.0
2023,2020-1483,68.0,66.0,70.0
2023,2020-1484,63.0,54.0,59.0
2023,2020-1485,89.0,,88.0
2023,2020-1486,74.0,64.0,75.0
2023,2020-1487,71.0,66.0,70.0
2023,2020-1488,63.0,61.0,75.0
2023,2020-1489,55.0,49.0,74.0
2023,2020-149,72.0,66.0,78.0
2023,2020-1490,64.0,56.0,59.0
2023,2020-1491,46.0,41.0,42.0
2023,2020-1492,79.0,76.0,79.0
2023,2020-1493,58.0,57.0,79.0
2023,2020-1494,65.0,60.0,65.0
2023,2020-1495,73.0,63.0,72.0
2023,2020-1496,69.0,60.0,73.0
2023,2020-1497,89.0,,92.0
2023,2020-1498,82.0,74.0,81.0
2023,2020-1499,63.0,60.0,61.0
2023,2020-15,80.0,70.0,100.0
2023,2020-150,73.0,71.0,70.0
2023,2020-1500,78.0,72.0,79.0
2023,2020-1501,74.0,72.0,75.0
2023,2020-1502,72.0,66.0,83.0
2023,2020-1503,87.0,82.0,82.0
2023,2020-1504,61.0,52.0,62.0
2023,2020-1505,63.0,56.0,72.0
2023,2020-1506,68.0,,68.0
2023,2020-1507,70.0,65.0,69.0
2023,2020-1508,62.0,55.0,86.0
2023,2020-1509,83.0,81.0,100.0
2023,2020-151,66.0,56.0,84.0
2023,2020-1510,66.0,61.0,64.0
2023,2020-1511,57.0,48.0,57.0
2023,2020-1512,60.0,55.0,74.0
2023,2020-1513,59.0,,54.0
2023,2020-1514,78.0,,81.0
2023,2020-1515,67.0,62.0,77.0
2023,2020-1516,70.0,61.0,80.0
2023,2020-1517,78.0,74.0,75.0
2023,2020-1518,55.0,,59.0
2023,2020-1519,72.0,67.0,69.0
2023,2020-152,65.0,63.0,63.0
2023,2020-1520,65.0,62.0,68.0
2023,2020-1521,87.0,,83.0
2023,2020-1522,78.0,71.0,79.0
2023,2020-1523,70.0,63.0,82.0
2023,2020-1524,68.0,61.0,69.0
2023,2020-1525,58.0,55.0,68.0
2023,2020-1526,67.0,,83.0
2023,2020-1527,90.0,87.0,86.0
2023,2020-1528,58.0,52.0,69.0
2023,2020-1529,65.0,60.0,67.0
2023,2020-153,52.0,47.0,48.0
2023,2020-1530,61.0,53.0,59.0
2023,2020-1531,84.0,83.0,87.0
2023,2020-1532,65.0,,76.0
2023,2020-1533,71.0,62.0,75.0
2023,2020-1534,72.0,70.0,67.0
2023,2020-1535,71.0,63.0,72.0
2023,2020-1536,54.0,45.0,51.0
2023,2020-1537,66.0,64.0,70.0
2023,2020-1538,66.0,62.0,73.0
2023,2020-1539,76.0,71.0,91.0
2023,2020-154,67.0,,68.0
2023,2020-1540,61.0,54.0,67.0
2023,2020-1541,83.0,74.0,78.0
2023,2020-1542,56.0,49.0,73.0
2023,2020-1543,83.0,76.0,90.0
2023,2020-1544,71.0,66.0,66.0
2023,2020-1545,68.0,59.0,71.0
2023,2020-1546,62.0,53.0,83.0
2023,2020-1547,74.0,68.0,78.0
2023,2020-1548,59.0,52.0,54.0
2023,2020-1549,78.0,74.0,76.0
2023,2020-155,76.0,68.0,78.0
2023,2020-1550,79.0,75.0,79.0
2023,2020-1551,68.0,63.0,63.0
2023,2020-1552,60.0,51.0,84.0
2023,2020-1553,72.0,,68.0
2023,2020-1554,69.0,65.0,90.0
2023,2020-1555,67.0,59.0,66.0
2023,2020-1556,61.0,,65.0
2023,2020-1557,65.0,62.0,60.0
2023,2020-1558,68.0,,91.0
2023,2020-1559,79.0,69.0,100.0
2023,2020-156,72.0,69.0,73.0
2023,2020-1560,61.0,53.0,75.0
2023,2020-1561,74.0,,79.0
2023,2020-1562,68.0,59.0,64.0
2023,2020-1563,82.0,73.0,81.0
2023,2020-1564,83.0,82.0,83.0
2023,2020-1565,74.0,72.0,74.0
2023,2020-1566,58.0,48.0,56.0
2023,2020-1567,76.0,72.0,71.0
2023,2020-1568,76.0,72.0,78.0
2023,2020-1569,75.0,69.0,92.0
2023,2020-157,88.0,85.0,87.0
2023,2020-1570,65.0,64.0,60.0
2023,2020-1571,73.0,72.0,68.0
2023,2020-1572,64.0,55.0,65.0
2023,2020-1573,55.0,48.0,57.0
2023,2020-1574,73.0,68.0,68.0
2023,2020-1575,69.0,62.0,89.0
2023,2020-1576,70.0,,67.0
2023,2020-1577,71.0,69.0,72.0
2023,2020-1578,72.0,,74.0
2023,2020-1579,41.0,39.0,62.0
2023,2020-158,80.0,75.0,76.0
2023,2020-1580,81.0,72.0,92.0
2023,2020-1581,73.0,64.0,82.0
2023,2020-1582,92.0,84.0,91.0
2023,2020-1583,65.0,,76.0
2023,2020-1584,69.0,,69.0
2023,2020-1585,75.0,73.0,99.0
2023,2020-1586,54.0,47.0,52.0
2023,2020-1587,72.0,64.0,69.0
2023,2020-1588,61.0,51.0,63.0
2023,2020-1589,78.0,70.0,74.0
2023,2020-159,57.0,52.0,58.0
2023,2020-1590,68.0,58.0,69.0
2023,2020-1591,74.0,69.0,76.0
2023,2020-1592,64.0,61.0,59.0
2023,2020-1593,71.0,,74.0
2023,2020-1594,65.0,57.0,67.0
2023,2020-1595,53.0,48.0,54.0
2023,2020-1596,84.0,75.0,84.0
2023,2020-1597,66.0,60.0,62.0
2023,2020-1598,62.0,,67.0
2023,2020-1599,59.0,49.0,71.0
2023,2020-16,73.0,67.0,75.0
2023,2020-160,78.0,76.0,79.0
2023,2020-1600,61.0,59.0,78.0
2023,2020-1601,72.0,64.0,67.0
2023,2020-1602,66.0,65.0,61.0
2023,2020-1603,79.0,72.0,76.0
2023,2020-1604,67.0,65.0,70.0
2023,2020-1605,75.0,70.0,86.0
2023,2020-1606,71.0,69.0,85.0
2023,2020-1607,76.0,70.0,80.0
2023,2020-1608,61.0,57.0,56.0
2023,2020-1609,60.0,57.0,64.0
2023,2020-161,79.0,73.0,77.0
2023,2020-1610,72.0,,68.0
2023,2020-1611,59.0,52.0,83.0
