starting_year,weekday,level,amount
2023,Th,Fr,8.77
2023,Tu,Fr,17.4
2023,Th,So,1.76
2023,Tu,So,11.76
2023,Sa,Se,36.42
2023,Fr,Ju,21.1
2023,Mo,Fr,10.25
2023,We,So,3.88
2023,Mo,Fr,11.72
2023,We,Fr,7.89
2023,We,Fr,0.59
2023,We,Fr,2.52
2023,Su,So,23.45
2023,Mo,So,2.61
2023,Tu,Fr,7.27
2023,We,Ju,0.3
2023,We,Fr,8.89
2023,We,So,22.51
2023,Tu,Fr,5.71
2023,Tu,Fr,5.38
2023,We,So,23.78
2023,Fr,Fr,5.12
2023,Th,Ju,20.61
2023,We,So,10.99
2023,Mo,Se,12.06
2023,Mo,Se,13.66
2023,Mo,Fr,7.26
2023,We,Ju,31.19
2023,Th,Fr,8.14
2023,Tu,Se,33.68
2023,Th,Fr,1.75
2023,Th,Fr,12.69
2023,Fr,So,13.71
2023,Mo,Se,23.78
2023,Fr,Se,6.72
2023,Th,Ju,3.34
2023,Tu,Fr,8.9
2023,Fr,Ju,28.48
2023,Th,Fr,8.01
2023,We,Ju,27.91
2023,Tu,Fr,5.5
2023,We,Fr,18.28
2023,We,Fr,5.17
2023,Fr,Fr,7.58
2023,We,Fr,19.04
2023,Th,Fr,6.99
2023,Mo,Fr,15.94
2023,We,Fr,18.59
2023,We,So,14.66
2023,We,Fr,1.38
2023,Th,Fr,2.65
2023,Fr,Ju,12.07
2023,We,So,17.71
2023,Th,Ju,25.3
2023,We,So,5.59
2023,Th,Fr,14.26
2023,Su,Fr,2.19
2023,We,So,7.05
2023,Tu,Fr,2.31
2023,Sa,Fr,4.95
2023,Su,So,15.65
2023,Mo,So,14.63
2023,Tu,Ju,14.23
2023,Fr,So,7.06
2023,Su,Fr,11.67
2023,Tu,Fr,8.14
2023,Tu,Se,38.66
2023,Su,Ju,14.84
2023,Tu,Fr,0.94
2023,Tu,So,24.61
2023,Fr,Ju,5.75
2023,We,Se,5.96
2023,Th,So,9.28
2023,We,So,0.07
2023,Th,Ju,2.34
2023,Th,Ju,12.26
2023,Th,Fr,9.59
2023,Fr,Ju,0.93
2023,We,Fr,7.99
2023,Th,So,14.52
2023,Th,Fr,13.3
2023,Th,Se,8.36
2023,Sa,Fr,5.47
2023,Tu,Se,18.36
2023,Fr,Fr,19.34
2023,We,So,13.91
2023,Fr,Ju,14.82
2023,We,Ju,1.29
2023,We,Fr,0.51
2023,We,Fr,15.44
2023,Th,Fr,5.74
2023,Tu,Fr,8.49
2023,Mo,So,7.8
2023,Th,Se,26.18
2023,Mo,Fr,13.06
2023,Su,Fr,5.37
2023,We,Fr,16.27
2023,Tu,Fr,5.47
2023,Tu,Fr,8.53
2023,Mo,So,0.07
2023,Th,Se,10.08
2023,Tu,So,10.66
2023,Fr,Fr,13.36
2023,We,Ju,2.48
2023,Fr,Fr,3.81
2023,Tu,Fr,3.45
2023,We,So,20.56
2023,We,So,17.68
2023,Th,So,19.42
2023,Mo,So,6.36
2023,Tu,Fr,9.44
2023,Mo,Fr,18.92
2023,Th,Fr,2.92
2023,Mo,Fr,18.79
2023,Th,Ju,19.23
2023,Mo,Fr,17.29
2023,We,Se,9.12
2023,We,Fr,3.8
2023,We,Ju,32.71
2023,Th,Fr,4.27
2023,Th,Ju,9.79
2023,Sa,Fr,1.25
2023,Tu,Ju,3.01
2023,Tu,Fr,15.11
2023,Tu,Fr,9.08
2023,Tu,Ju,32.38
2023,Tu,So,4.43
2023,Th,Fr,18.46
2023,Tu,Fr,5.86
2023,We,Ju,18.15
2023,Fr,Se,0.34
2023,Tu,Fr,18.16
2023,Th,Se,13.16
2023,Tu,Fr,0.79
2023,Sa,Fr,2.61
2023,Tu,Fr,13.58
2023,We,Fr,10.54
2023,We,So,21.32
2023,Tu,Fr,14.47
2023,Mo,So,2.58
2023,Su,Fr,7.9
2023,Mo,So,20.08
2023,Fr,Fr,6.2
2023,Th,Fr,18.43
2023,Tu,Fr,10.31
2023,We,Fr,9.31
2023,We,Fr,10.48
2023,We,Fr,9.88
2023,We,Fr,18.55
2023,We,So,13.98
2023,Mo,So,12.41
2023,Fr,Fr,2.81
2023,Tu,Fr,4.21
2023,Tu,Fr,19.46
2023,Fr,Fr,2.77
2023,Mo,Fr,19.92
2023,Th,So,23.07
2023,Th,Ju,8.49
2023,Tu,Ju,14.69
2023,Th,Fr,17.11
2023,Mo,Fr,5.76
2023,Tu,Fr,5.14
2023,Th,Fr,9.39
2023,Mo,Ju,33.63
2023,Th,Fr,7.2
2023,Th,So,13.14
2023,Tu,Ju,14.09
2023,Tu,Fr,15.28
2023,We,Fr,7.5
2023,Th,Ju,31.64
2023,Tu,Fr,16.0
2023,Th,Fr,7.71
2023,We,Ju,9.82
2023,Tu,Se,19.97
2023,Fr,Fr,17.19
2023,Th,Fr,1.1
2023,Tu,Ju,3.54
2023,Tu,Se,8.24
2023,We,Se,10.83
2023,We,Fr,10.41
2023,Tu,Fr,13.03
2023,Tu,Se,34.02
2023,Mo,Fr,8.26
2023,We,Fr,17.5
2023,We,Fr,13.58
2023,We,Fr,11.17
2023,We,So,5.63
2023,We,Ju,6.59
2023,We,Fr,13.11
2023,Fr,So,7.13
2023,Th,Fr,17.1
2023,We,Fr,17.4
2023,Tu,So,13.33
2023,Mo,Fr,9.46
2023,Tu,So,18.82
2023,Mo,Fr,12.04
2023,Th,Ju,3.68
2023,We,Fr,0.28
2023,Tu,So,5.99
2023,Tu,So,6.29
2023,Tu,Fr,3.85
2023,Tu,Se,6.82
2023,Mo,Fr,11.32
2023,Tu,Fr,17.33
2023,Th,Ju,0.62
2023,Mo,Fr,3.79
2023,Tu,Fr,6.36
2023,We,Fr,15.08
2023,Fr,Fr,12.23
2023,Mo,Fr,0.34
2023,Th,Fr,8.59
2023,Fr,So,13.83
2023,Mo,So,8.12
2023,We,Fr,14.0
2023,Th,Ju,17.31
2023,Mo,Fr,10.22
2023,Tu,Fr,15.81
2023,Th,Ju,4.67
2023,Mo,Fr,18.84
2023,Tu,Fr,6.84
2023,Mo,Fr,0.47
2023,Tu,Fr,16.17
2023,We,Fr,2.77
2023,Tu,So,18.97
2023,Su,Ju,32.35
2023,Fr,Ju,17.5
2023,We,Fr,14.9
2023,Mo,Fr,0.04
2023,Tu,Se,19.56
2023,Mo,So,0.84
2023,Mo,Fr,9.13
2023,Su,So,7.54
2023,Th,Se,21.76
2023,Mo,Fr,8.2
2023,We,Fr,13.34
2023,Tu,Ju,24.53
2023,We,Fr,16.74
2023,We,Fr,0.98
2023,Tu,So,10.38
2023,Su,Fr,5.33
2023,Mo,Ju,1.71
2023,Mo,So,22.2
2023,Mo,Fr,1.06
2023,Th,Fr,17.31
2023,Mo,Fr,11.86
2023,Th,So,2.43
2023,Th,Fr,7.71
2023,Tu,Fr,18.77
2023,Tu,Se,29.12
2023,Su,Fr,2.44
2023,Su,Se,36.6
2023,We,Ju,11.74
2023,Th,Fr,8.27
2023,We,Fr,8.79
2023,Sa,Fr,13.79
2023,Tu,Fr,3.28
2023,We,Fr,13.36
2023,Tu,Fr,9.16
2023,Mo,Fr,2.61
2023,Mo,Fr,4.15
2023,Fr,Fr,18.92
2023,Tu,Fr,11.59
2023,Su,So,25.98
2023,Th,So,14.77
2023,Tu,Fr,4.73
2023,Mo,Fr,3.58
2023,Mo,So,11.53
2023,Th,Se,5.29
2023,Tu,Fr,2.68
2023,Mo,So,0.63
2023,Tu,Fr,16.29
2023,Th,Fr,12.29
2023,Fr,Fr,0.65
2023,Tu,So,8.32
2023,Tu,Ju,6.74
2023,Tu,So,23.9
2023,Fr,Fr,11.8
2023,Mo,So,10.38
2023,Tu,So,11.24
2023,Mo,So,25.12
2023,We,Fr,5.21
2023,Tu,Fr,8.61
2023,Tu,Fr,8.19
2023,Tu,Fr,3.51
2023,Tu,Fr,19.76
2023,Mo,Ju,3.57
2023,Mo,So,1.02
2023,Tu,Fr,5.09
2023,Tu,Fr,2.18
2023,Tu,Fr,8.44
2023,Th,Ju,1.2
2023,Sa,So,19.06
2023,Th,Ju,26.87
2023,Mo,Fr,17.12
2023,We,Fr,7.51
2023,Th,Fr,3.41
2023,Th,Fr,3.14
2023,Su,Fr,6.51
2023,We,Fr,6.71
2023,We,So,4.13
2023,Th,Ju,33.16
2023,Th,So,24.6
2023,We,Ju,1.2
2023,We,Se,1.31
2023,Th,Fr,1.72
2023,Fr,Se,12.15
2023,We,Ju,12.38
2023,Sa,Fr,18.71
2023,We,Fr,15.94
2023,We,Fr,19.48
2023,Th,So,21.26
2023,Th,Fr,9.88
2023,Th,So,25.42
2023,Th,So,15.82
2023,Mo,Se,21.19
2023,Mo,Fr,3.3
2023,Su,So,12.66
2023,Tu,Fr,18.47
2023,We,Fr,5.92
2023,Su,Fr,11.78
2023,Mo,Fr,19.26
2023,Mo,Ju,33.57
2023,We,Fr,1.99
2023,Fr,Se,23.87
2023,Mo,Fr,9.17
2023,Tu,Se,4.11
2023,Tu,Fr,3.06
2023,We,Fr,7.72
2023,Th,Fr,0.55
2023,Su,Se,15.59
2023,We,Fr,12.49
2023,Mo,Fr,17.66
2023,Th,Fr,8.91
2023,Th,Fr,17.15
2023,We,Ju,4.43
2023,Mo,Se,18.3
2023,Mo,Fr,8.38
2023,We,Ju,3.97
2023,Th,Ju,6.19
2023,Th,Fr,14.55
2023,Tu,Se,4.72
2023,Tu,Fr,13.47
2023,Mo,Fr,13.63
2023,Mo,Fr,5.26
2023,Mo,So,6.14
2023,Th,Fr,12.49
2023,We,So,21.03
2023,Th,Fr,17.48
2023,Mo,So,13.33
2023,Tu,So,11.7
2023,Tu,So,17.06
2023,We,Fr,10.03
2023,Su,Ju,19.6
2023,Mo,Ju,9.71
2023,Tu,So,10.42
2023,Tu,So,13.33
2023,We,Fr,1.56
2023,Fr,Fr,11.45
2023,Mo,Ju,18.24
2023,We,So,9.5
2023,We,Fr,10.51
2023,Tu,Ju,30.72
2023,Sa,Fr,16.86
2023,We,Fr,4.9
2023,We,Se,13.47
2023,We,Ju,30.84
2023,Mo,Fr,0.2
2023,Mo,So,14.82
2023,Tu,Se,20.98
2023,Th,Se,35.67
2023,Su,Fr,18.73
2023,Tu,Ju,4.02
2023,Sa,Fr,4.82
2023,Tu,Fr,9.68
2023,Su,So,4.5
2023,Tu,So,19.09
2023,Fr,Ju,3.3
2023,Mo,Fr,6.11
2023,Th,Fr,15.72
2023,Th,Fr,13.77
2023,Tu,Fr,15.04
2023,Fr,Fr,17.39
2023,Th,So,10.3
2023,We,Ju,32.89
2023,Su,Fr,7.14
2023,Th,So,16.47
2023,Th,Fr,8.12
2023,Sa,So,24.09
2023,Mo,Ju,3.75
2023,Th,Fr,10.62
2023,We,Fr,14.29
2023,Tu,So,24.77
2023,We,So,0.25
2023,Su,Ju,28.14
2023,Tu,Fr,14.19
2023,We,Ju,0.7
2023,We,Fr,0.05
2023,Mo,Ju,4.31
2023,Fr,So,14.09
2023,We,Fr,16.33
2023,Th,Fr,6.91
2023,Tu,Fr,1.59
2023,Th,Fr,13.32
2023,Fr,Fr,17.54
2023,We,Fr,17.22
2023,We,Fr,2.62
2023,Fr,So,6.62
2023,Fr,So,14.13
2023,Fr,Fr,4.86
2023,Mo,Fr,15.82
2023,Fr,Fr,16.32
2023,Mo,So,20.07
2023,Tu,So,5.89
2023,Fr,So,23.73
2023,We,So,19.2
2023,We,Fr,8.97
2023,Mo,So,13.87
2023,Sa,Fr,0.6
2023,We,Fr,0.99
2023,Tu,Se,1.03
2023,Fr,Fr,5.5
2023,We,Se,13.99
2023,Fr,So,10.77
2023,Mo,Ju,15.2
2023,Th,Fr,14.53
2023,Tu,Fr,4.83
2023,We,Fr,16.67
2023,Tu,Fr,12.5
2023,Fr,Fr,15.97
2023,We,Se,25.53
2023,Th,Fr,0.62
2023,We,So,13.31
2023,Sa,Ju,20.4
2023,Th,Fr,18.16
2023,We,Fr,14.51
2023,Mo,Fr,10.37
2023,Tu,So,9.12
2023,Fr,Fr,16.4
2023,Th,Fr,0.36
2023,Mo,Fr,2.17
2023,Tu,Fr,10.94
2023,Sa,Ju,6.3
2023,Tu,Fr,7.99
2023,We,Fr,16.74
2023,Th,Fr,15.21
2023,We,So,2.58
2023,We,Fr,12.14
2023,We,Fr,4.76
2023,Tu,Ju,20.8
2023,Tu,Ju,8.45
2023,Tu,Ju,25.68
2023,Mo,Fr,18.71
2023,Mo,Fr,1.98
2023,Tu,Fr,12.78
2023,We,Ju,8.82
2023,Tu,Ju,4.7
2023,Mo,Fr,1.91
2023,Mo,Se,37.66
2023,Tu,Fr,14.77
2023,Tu,Fr,10.59
2023,Tu,Fr,14.84
2023,Tu,Fr,13.99
2023,We,So,0.25
2023,Th,Fr,19.27
2023,We,Ju,9.8
2023,We,Fr,3.24
2023,Tu,Fr,9.6
2023,Su,So,24.27
2023,We,Fr,11.13
2023,Th,Fr,5.71
2023,Th,Fr,7.35
2023,Th,Fr,12.51
2023,Su,Fr,12.91
2023,Tu,Fr,9.0
2023,Th,Fr,1.42
2023,Th,Ju,4.93
2023,Th,Fr,5.4
2023,Th,Fr,1.44
2023,Tu,Fr,6.38
2023,We,So,23.24
2023,We,So,1.12
2023,Sa,So,7.46
2023,Th,Se,31.59
2023,Mo,Fr,11.41
2023,We,Fr,8.49
2023,Fr,Se,11.63
2023,We,So,9.82
2023,Tu,Fr,3.33
2023,Su,So,14.77
2023,Tu,Fr,19.96
2023,Th,Fr,11.99
2023,Tu,So,24.25
2023,Fr,So,10.13
2023,Su,So,24.97
2023,Th,Fr,3.87
2023,Th,Se,30.67
2023,Tu,Fr,14.72
2023,We,Fr,5.69
2023,Fr,Fr,5.55
2023,Mo,Fr,11.38
2023,We,Fr,14.98
2023,Fr,Fr,19.17
2023,Mo,So,19.37
2023,Tu,Fr,16.56
2023,Th,So,13.52
2023,We,Fr,9.99
2023,Mo,Fr,3.18
2023,Tu,Ju,27.85
2023,Th,So,25.04
2023,We,Fr,19.91
2023,We,Fr,11.21
2023,Fr,Fr,17.7
2023,Th,Fr,9.21
2023,We,Se,21.66
2023,Th,Ju,28.41
2023,Tu,Ju,19.79
2023,Su,Fr,3.5
2023,Th,Fr,13.48
2023,Tu,Fr,1.25
2023,Th,Fr,9.06
2023,Th,So,5.26
2023,We,Fr,2.36
2023,We,Ju,2.15
2023,Mo,Se,34.34
2023,Tu,Fr,16.99
2023,Su,Fr,5.6
2023,Su,Fr,10.02
2023,Tu,Fr,8.66
2023,We,Fr,6.42
2023,We,Fr,2.39
2023,Sa,So,0.33
2023,Mo,So,20.47
2023,Th,Fr,15.65
2023,Su,Ju,4.56
2023,We,Fr,14.45
2023,Mo,Fr,19.82
2023,We,Fr,14.13
2023,Mo,Ju,12.08
2023,Tu,Ju,7.59
2023,Tu,Fr,19.72
2023,We,Ju,7.25
2023,Su,Fr,7.64
2023,Mo,So,13.59
2023,Th,Fr,5.95
2023,Mo,Fr,1.1
2023,We,Fr,12.07
2023,We,So,0.31
2023,Mo,So,7.28
2023,We,Fr,1.49
2023,Th,Fr,7.4
2023,We,Ju,29.2
2023,Tu,Se,14.98
2023,Sa,Fr,3.11
2023,Su,Fr,14.26
2023,Fr,So,9.99
2023,Th,Fr,3.19
2023,We,Fr,0.18
2023,Th,Fr,1.39
2023,We,Fr,2.04
2023,Th,Fr,2.03
2023,Th,So,9.84
2023,We,Fr,9.3
2023,Fr,So,0.94
2023,Mo,Fr,7.2
2023,Th,Fr,0.02
2023,Tu,Ju,18.39
2023,Su,Se,30.67
2023,Tu,Ju,3.47
2023,Tu,Fr,16.95
2023,Tu,Fr,8.12
2023,Mo,Fr,14.21
2023,Tu,So,3.56
2023,Tu,Fr,12.7
2023,Th,Fr,12.87
2023,Tu,Fr,12.75
2023,Fr,Se,15.6
2023,Mo,Fr,4.05
2023,We,Fr,13.91
2023,Th,Fr,16.43
2023,We,Fr,16.77
2023,Tu,Ju,11.18
2023,Mo,Se,5.44
2023,Th,Fr,11.08
2023,Fr,Fr,17.34
2023,Fr,So,13.03
2023,Th,Fr,1.67
2023,We,Ju,12.91
2023,Fr,Fr,13.95
2023,Fr,Ju,1.58
2023,Tu,Fr,12.27
2023,We,So,24.06
2023,Tu,Se,3.57
2023,Sa,Fr,11.47
2023,We,So,13.2
2023,Th,Fr,0.97
2023,Su,Fr,0.49
2023,Mo,Fr,7.52
2023,Mo,Ju,29.29
2023,We,Fr,19.79
2023,Fr,Fr,18.74
2023,We,Ju,11.36
2023,Fr,Fr,5.41
2023,Fr,So,21.57
2023,Tu,Fr,9.49
2023,We,So,16.17
2023,Mo,Se,23.17
2023,Tu,Fr,4.5
2023,Fr,Se,35.42
2023,Th,Se,36.24
2023,Tu,Fr,14.2
2023,Su,Ju,21.68
2023,Mo,Ju,29.83
2023,We,So,15.19
2023,Fr,So,12.57
2023,Tu,Fr,16.15
2023,We,Fr,17.81
2023,We,Se,17.62
2023,Tu,So,10.56
2023,We,Fr,17.73
2023,Su,Fr,3.75
2023,We,Fr,7.7
2023,Mo,Fr,8.67
2023,Tu,Se,30.95
2023,Sa,Ju,27.65
2023,We,So,4.25
2023,Tu,Fr,13.93
2023,Tu,Fr,0.1
2023,Th,Fr,18.67
2023,Th,Ju,1.23
2023,Tu,Se,0.59
2023,Tu,Ju,2.79
2023,Fr,Fr,16.73
2023,Tu,Fr,13.82
2023,Tu,So,9.52
2023,Tu,Fr,1.01
2023,Mo,Fr,0.83
2023,Fr,Se,15.71
2023,We,Fr,0.13
2023,We,Ju,24.61
2023,Su,Fr,11.36
2023,Th,Fr,17.65
2023,Th,Ju,12.01
2023,We,So,7.42
2023,Th,Fr,0.54
2023,Mo,Se,19.45
2023,Mo,Fr,0.4
2023,Th,Fr,0.47
2023,Su,Ju,32.49
2023,Fr,Fr,18.93
2023,Th,Fr,10.48
2023,Th,Fr,6.26
2023,Mo,Fr,3.85
2023,Fr,So,5.35
2023,Mo,Se,34.95
2023,Th,So,12.55
2023,Mo,Fr,2.22
2023,Fr,So,19.22
2023,Fr,Fr,19.76
2023,We,Fr,1.39
2023,Mo,So,2.01
2023,We,Fr,19.02
2023,We,Ju,15.45
2023,Tu,Fr,13.32
2023,Th,Fr,7.9
2023,Tu,So,12.4
2023,We,Fr,3.52
2023,Mo,Ju,27.4
2023,Tu,Se,4.35
2023,Tu,Fr,19.12
2023,Th,So,12.89
2023,Mo,Fr,0.32
2023,Mo,So,2.28
2023,Th,Fr,3.01
2023,Tu,Fr,8.29
2023,Tu,So,2.63
2023,Tu,Fr,6.72
2023,We,Fr,16.42
2023,We,So,19.69
2023,Tu,Ju,21.36
2023,We,Fr,14.44
2023,Mo,Fr,9.06
2023,Tu,Fr,9.59
2023,We,Se,37.85
2023,We,Fr,0.22
2023,Th,Fr,15.25
2023,Fr,Fr,18.86
2023,Th,Fr,13.12
2023,Mo,So,19.48
2023,Tu,Fr,17.26
2023,Tu,Fr,6.5
2023,Tu,Se,40.82
2023,Fr,Fr,5.96
2023,We,So,23.12
2023,Mo,Fr,19.82
2023,Tu,Fr,19.65
2023,Fr,Ju,26.04
2023,We,Fr,9.67
2023,We,Ju,17.07
2023,Tu,So,16.08
2023,Th,So,15.64
2023,Mo,Fr,7.11
2023,Tu,Fr,14.99
2023,Th,Se,9.06
2023,Mo,Fr,8.03
2023,Th,Fr,14.96
2023,We,Fr,10.8
2023,We,Fr,18.86
2023,Mo,So,6.03
2023,We,Fr,9.71
2023,We,Fr,14.2
2023,Tu,Fr,0.08
2023,Tu,So,7.3
2023,Fr,So,7.07
2023,Tu,So,12.29
2023,Th,Fr,2.43
2023,We,So,25.71
2023,We,Fr,15.42
2023,Th,Ju,1.32
2023,We,So,23.65
2023,We,Fr,2.44
2023,Th,Fr,18.9
2023,Mo,Fr,17.04
2023,Th,Fr,12.08
2023,We,So,7.57
2023,We,So,3.18
2023,Tu,Fr,2.14
2023,Su,Fr,10.02
2023,We,Fr,12.65
2023,Th,Fr,12.42
2023,Mo,Fr,9.95
2023,Tu,Fr,2.06
2023,Tu,Ju,8.15
2023,Sa,Fr,10.52
2023,We,So,17.73
2023,We,Ju,31.92
2023,We,Se,4.21
2023,We,Fr,19.19
2023,Mo,So,16.44
2023,We,Fr,0.7
2023,Su,Fr,4.73
2023,We,Fr,17.02
2023,Mo,Fr,15.68
2023,We,So,13.9
2023,Fr,Fr,12.46
2023,Mo,Fr,1.49
2023,Mo,Fr,16.61
2023,Mo,So,20.5
2023,Th,Fr,6.9
2023,Mo,So,7.12
2023,Su,So,19.48
2023,Mo,Fr,16.59
2023,Th,Fr,3.81
2023,Tu,Fr,3.0
2023,Tu,Fr,17.75
2023,Mo,Fr,8.71
2023,We,Ju,3.54
2023,Th,Fr,8.83
2023,Mo,Fr,13.38
2023,Tu,Fr,4.75
2023,We,Fr,5.03
2023,Fr,Fr,7.89
2023,Tu,Ju,5.44
2023,We,Ju,1.69
2023,We,Fr,17.12
2023,We,Ju,6.31
2023,We,Ju,18.1
2023,Tu,Ju,23.01
2023,Mo,Fr,14.98
2023,Mo,Fr,19.41
2023,We,So,23.23
2023,We,Fr,10.64
2023,We,Fr,15.23
2023,Mo,So,20.73
2023,Mo,Fr,15.09
2023,Mo,Fr,0.24
2023,We,Fr,13.91
2023,Tu,Fr,11.89
2023,Tu,So,22.99
2023,Th,Se,9.83
2023,Fr,So,5.46
2023,Th,Fr,11.31
2023,Tu,Ju,30.49
2023,Fr,So,3.09
2023,Tu,So,13.99
2023,We,Fr,12.69
2023,Sa,Fr,1.0
2023,Su,Fr,19.89
2023,Tu,So,6.88
2023,We,Ju,32.02
2023,Mo,Ju,30.25
2023,We,Se,16.74
2023,We,Ju,28.6
2023,Mo,So,11.49
2023,Su,Ju,0.42
2023,Mo,Fr,8.57
2023,Fr,So,10.69
2023,Sa,Fr,9.59
2023,We,Fr,8.79
2023,Mo,So,16.73
2023,We,Fr,19.84
2023,Tu,Fr,9.83
2023,Mo,Fr,18.24
2023,Tu,Fr,15.49
2023,We,Fr,19.96
2023,Tu,Fr,8.97
2023,Tu,Fr,1.28
2023,Su,Fr,9.29
2023,Mo,Ju,25.38
2023,We,Se,11.89
2023,Tu,So,10.57
2023,Th,Fr,10.27
2023,We,So,2.63
2023,Tu,Fr,4.36
2023,Th,So,7.24
2023,Mo,Fr,4.36
2023,Mo,Fr,4.16
2023,Su,So,12.22
2023,Sa,Fr,10.54
2023,Tu,So,9.43
2023,We,Ju,7.46
2023,Fr,So,15.16
2023,We,Se,2.69
2023,Su,Fr,18.76
2023,We,Se,10.25
2023,We,Se,37.88
2023,We,Fr,19.61
2023,Th,Se,6.68
2023,We,Se,8.26
2023,Mo,Se,6.61
2023,Th,Fr,4.89
2023,Tu,Se,11.15
2023,Tu,Se,27.53
2023,Tu,Fr,18.56
2023,Th,So,10.8
2023,We,Fr,5.35
2023,We,Fr,2.87
2023,We,So,8.61
2023,Mo,Fr,16.45
2023,Fr,Se,19.64
2023,Tu,Fr,15.5
2023,Mo,Fr,7.13
2023,We,Fr,2.71
2023,Sa,Fr,8.53
2023,Th,So,6.75
2023,Fr,Fr,1.16
2023,Fr,So,4.21
2023,Tu,Ju,27.45
2023,We,Fr,6.24
2023,Mo,Se,12.13
2023,We,Fr,13.91
2023,Mo,Fr,18.04
2023,Th,Ju,11.79
2023,Mo,Fr,16.91
2023,Fr,So,22.4
2023,Tu,Ju,33.05
2023,We,Fr,10.59
2023,Fr,Fr,7.43
2023,Th,Ju,28.39
2023,Th,Fr,7.54
2023,Mo,So,12.82
2023,Tu,Ju,11.03
2023,Mo,Ju,18.66
2023,Tu,Fr,2.52
2023,We,Fr,7.16
2023,We,Se,34.61
2023,Su,Fr,12.97
2023,Su,So,25.66
2023,Tu,Se,24.96
2023,Fr,So,23.25
2023,Th,So,15.03
2023,Th,Se,2.9
2023,Tu,Fr,1.76
2023,Tu,Fr,17.31
2023,We,Se,14.64
2023,Th,Fr,9.85
2023,Tu,Se,2.82
2023,Tu,Ju,26.48
2023,Su,So,10.8
2023,We,Se,41.66
2023,Th,So,0.04
